"baseline_sha","path","line","matched_terms","screening_category"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe",".github/copilot-instructions.md","110","KUB8;reward","documentation"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","AGENTS.md","136","KUB8;reward","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","assets/markers/svg/cl_v2_institution_10_l.svg","3","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","assets/markers/svg/cl_v2_institution_25_l.svg","3","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","assets/markers/svg/cl_v2_institution_99_l.svg","3","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","assets/markers/svg/mk_exhibition_featured_d_pro.svg","3","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","assets/markers/svg/mk_residency_subtle_d_std.svg","3","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","docs/FEATURES.md","56","KUB8","documentation"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","docs/FEATURES.md","58","KUB8;reward","documentation"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","docs/research/node-accessibility-alignment.md","89","KUB8","documentation"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","docs/seo/domain-ownership.md","106","tokenReward;reward","documentation"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","kub8_metadata.json","3","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","kub8_metadata.json","4","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/api_keys.dart","39","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/api_keys.dart","40","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/api_keys.dart","43","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/api_keys.dart","44","KUB8","legacy-or-context-review"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/config.dart","441","reward","unverified-legacy-config"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/config.dart","442","dailyLoginReward;reward","unverified-legacy-config"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/config.dart","443","reward","unverified-legacy-config"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/config.dart","444","reward","unverified-legacy-config"
"94c9ad6c3539b8cd4cf6beb2ce1a4959713d2cfe","lib/config/config.dart","445","KUB8;reward","unverified-legacy-config"
